,player,year,mp,fga,fg_perc,threepoint_att,threepoint_perc,twopoint_att,twopoint_perc,efg_perc,ft_perc,pts,class
300,Nikola Mirotić,2016-17,24.0,8.9,0.413,5.4,0.342,3.5,0.52,0.516,0.773,10.6,great
303,Marcus Morris,2016-17,32.5,12.7,0.418,4.5,0.331,8.2,0.466,0.477,0.784,14.0,great
304,Markieff Morris,2016-17,31.2,11.7,0.457,2.6,0.362,9.1,0.483,0.497,0.837,14.0,great
308,Emmanuel Mudiay,2016-17,25.6,10.0,0.377,3.2,0.315,6.8,0.408,0.428,0.784,11.0,great
316,Jameer Nelson,2016-17,27.3,8.1,0.444,3.6,0.388,4.4,0.489,0.531,0.714,9.2,great
324,Dirk Nowitzki,2016-17,26.4,12.6,0.437,3.9,0.378,8.7,0.463,0.495,0.875,14.2,great
331,Victor Oladipo,2016-17,33.2,13.9,0.442,5.3,0.361,8.7,0.491,0.51,0.753,15.9,great
339,Tony Parker,2016-17,25.2,9.0,0.466,1.1,0.333,7.9,0.484,0.486,0.726,10.1,great
346,Elfrid Payton,2016-17,29.4,11.1,0.471,1.8,0.274,9.3,0.509,0.493,0.692,12.8,great
363,Julius Randle,2016-17,28.8,10.4,0.488,0.9,0.27,9.6,0.507,0.499,0.723,13.2,great
364,Zach Randolph,2016-17,24.5,13.2,0.449,1.3,0.223,11.9,0.474,0.46,0.731,14.1,great
365,J.J. Redick,2016-17,28.2,11.4,0.445,6.0,0.429,5.4,0.462,0.558,0.891,15.0,great
367,Josh Richardson,2016-17,30.5,9.7,0.394,4.3,0.33,5.4,0.444,0.467,0.779,10.2,great
369,Austin Rivers,2016-17,27.8,9.9,0.442,4.0,0.371,5.8,0.491,0.518,0.691,12.0,great
377,Terrence Ross,2016-17,25.1,9.6,0.437,5.0,0.363,4.6,0.518,0.532,0.831,11.0,great
379,Ricky Rubio,2016-17,32.9,8.7,0.402,2.6,0.306,6.1,0.443,0.448,0.891,11.1,great
