Rk,PER,BPM,VORP
2265,23.5,4.9,3.8
2266,9.2,-3.1,-0.2
2267,14.5,0.1,0.7
2268,14.4,-1.1,0.2
2269,14.6,0.7,1.1
2270,16.9,1.1,1.4
2271,12.1,1.9,1.9
2272,13.3,1.7,1.9
2273,13.6,-1.5,0.1
2274,12.1,-0.5,0.2
2275,13.0,-0.8,0.6
2276,8.8,-3.6,-0.2
2277,12.9,-0.8,0.3
2278,8.5,-5.8,-0.2
2279,11.4,-3.1,-0.5
2280,-12.4,-21.1,0.0
2281,16.2,1.4,1.5
2282,22.3,1.6,0.2
2283,1.0,-11.9,-0.8
2284,11.1,-3.8,-0.4
2285,15.7,0.4,1.2
2286,24.5,7.2,3.7
2287,8.1,-3.7,-0.3
2288,-10.8,-22.1,-0.1
2289,22.7,3.0,2.0
2290,9.1,-4.2,-0.6
2291,15.2,0.3,0.1
2292,14.1,0.4,1.3
2293,20.0,3.7,2.9
2294,6.8,-4.1,-0.2
2295,12.2,-0.8,0.4
2296,17.9,-0.9,0.2
2297,54.6,31.1,0.0
2298,19.1,0.6,0.6
2299,5.3,-7.2,-0.9
2300,17.6,1.6,1.4
2301,12.1,-2.9,-0.2
2302,19.6,0.0,0.4
2303,13.3,-1.3,0.3
2304,12.8,-0.6,0.9
2305,13.1,-1.2,0.1
2306,6.7,-2.5,-0.2
2307,10.4,-3.4,0.0
2308,13.4,-2.5,0.0
2309,9.2,-4.2,-0.7
2310,20.0,3.4,2.6
2311,10.4,-1.0,0.6
2312,14.4,0.1,0.1
2313,20.2,0.6,1.2
2314,5.6,-6.4,-1.0
2315,17.4,3.4,1.1
2316,12.9,-1.2,0.3
2317,9.1,-3.5,-0.3
2318,17.8,-1.5,0.1
2319,6.4,-8.7,-0.3
2320,12.2,-0.3,1.0
2321,8.4,-2.8,0.0
2322,15.7,1.2,0.5
2323,6.8,-5.6,-0.3
2324,18.2,1.4,0.8
2325,9.2,-0.4,0.5
2326,12.1,-0.9,0.0
2327,15.9,3.5,2.6
2328,19.2,2.2,2.2
2329,24.4,5.5,3.6
2330,4.3,-6.3,-0.6
2331,13.3,-1.7,0.1
2332,18.0,0.1,0.1
2333,12.0,-3.0,-0.4
2334,10.4,-3.5,-0.2
2335,14.2,0.4,0.9
2336,11.3,-4.3,-0.2
2337,24.2,8.1,3.8
2338,11.9,-4.4,-0.1
2339,7.9,-4.7,-0.3
2340,13.4,-0.7,0.3
2341,9.5,-3.0,-0.1
2342,23.5,2.7,0.2
2343,11.8,-0.2,0.7
2344,11.4,-1.2,0.2
2345,13.8,-1.6,0.2
2346,8.8,-2.5,-0.1
2347,8.2,-3.4,-0.2
2348,31.3,12.1,8.8
2349,14.6,-1.4,0.1
2350,11.9,-1.4,0.2
2351,12.1,-2.7,-0.1
2352,12.1,-3.5,-0.1
2353,15.0,0.8,0.9
2354,17.1,1.0,0.9
2355,12.5,-1.8,0.1
2356,9.5,-4.3,-0.2
2357,15.8,1.3,0.6
2358,12.7,-0.2,0.6
2359,21.2,4.9,0.1
2360,10.6,0.0,0.7
2361,13.9,-3.7,-0.1
2362,9.1,-1.4,0.1
2363,14.8,1.2,0.5
2364,12.8,-0.1,0.5
2365,13.3,0.8,0.3
2366,6.3,-4.6,-0.1
2367,12.7,-0.4,0.8
2368,8.7,-6.1,-0.4
2369,15.8,1.4,0.7
2370,5.1,-4.6,-0.2
2371,21.5,4.0,3.1
2372,11.4,-2.1,0.0
2373,11.2,-3.0,0.0
2374,4.7,-13.0,0.0
2375,11.8,0.2,0.6
2376,13.8,-2.0,0.0
2377,16.4,-0.1,0.5
2378,26.0,7.3,4.2
2379,6.6,-3.7,0.0
2380,17.8,0.4,0.9
2381,10.3,-3.4,-0.3
2382,25.6,6.3,5.0
2383,11.6,-2.7,-0.1
2384,11.9,-0.9,0.3
2385,15.4,0.0,0.9
2386,16.7,-1.0,0.4
2387,-0.9,-9.6,-0.1
2388,15.1,-0.1,0.3
2389,16.5,1.6,1.5
2390,7.8,-4.4,-0.6
2391,11.4,-1.8,0.0
2392,-35.1,-39.3,0.0
2393,18.6,0.7,0.1
2394,8.2,-5.0,-1.3
2395,1.3,-9.9,-0.2
2396,13.8,-0.2,0.6
2397,9.3,-3.9,-0.2
2398,22.6,-0.8,0.1
2399,15.2,0.1,0.7
2400,11.4,-1.3,0.1
2401,9.5,-3.4,-0.3
2402,10.6,-2.0,0.0
2403,1.4,-9.5,-0.1
2404,13.9,-2.4,0.0
2405,14.6,-1.8,0.0
2406,7.5,-7.7,-0.1
2407,9.7,-1.8,0.1
2408,9.8,-2.6,0.0
2409,7.2,-1.7,0.1
2410,14.5,-1.5,0.1
2411,16.8,1.9,0.3
2412,12.0,0.9,0.0
2413,20.8,3.9,2.4
2414,16.9,1.4,1.5
2415,8.9,-3.5,-0.6
2416,11.4,-3.2,-0.3
2417,15.6,-0.6,0.6
2418,7.2,-4.3,-0.1
2419,17.0,-2.5,-0.1
2420,16.1,0.7,0.1
2421,15.5,-0.4,0.1
2422,12.0,-1.7,0.1
2423,8.5,-3.9,-0.4
2424,7.9,-3.5,-0.2
2425,15.2,2.3,1.1
2426,11.9,-1.0,0.1
2427,14.5,-3.6,-0.2
2428,18.2,1.3,1.9
2429,15.9,3.6,0.3
2430,11.8,-1.2,0.4
2431,16.4,1.0,0.9
2432,14.6,-1.6,0.1
2433,21.3,4.3,2.8
2434,2.2,-9.3,-0.1
2435,13.6,-1.8,0.0
2436,10.4,-2.9,-0.1
2437,16.7,-0.4,0.8
2438,8.5,-2.3,0.0
2439,14.5,0.0,0.8
2440,9.3,-2.6,-0.2
2441,14.0,-0.3,0.5
2442,10.8,-1.8,0.0
2443,16.5,0.8,1.5
2444,18.3,2.0,1.7
2445,14.7,-0.1,0.3
2446,10.4,-2.6,-0.2
2447,13.4,0.0,0.2
2448,13.2,0.4,0.7
2449,9.4,-3.2,-0.2
2450,13.0,-0.6,0.5
2451,11.4,-0.3,0.5
2452,11.3,-1.7,0.0
2453,14.8,1.4,1.3
2454,12.3,-2.8,-0.2
2455,7.7,-1.7,0.0
2456,14.2,-0.5,0.6
2457,8.3,-2.7,0.0
2458,20.5,2.5,1.0
2459,14.4,-0.8,0.2
2460,16.1,-1.1,0.1
2461,9.9,1.0,1.7
2462,8.3,-2.4,-0.1
2463,13.1,-3.2,-0.1
2464,11.8,-1.5,0.1
2465,9.1,-3.3,-0.4
2466,16.8,-1.4,0.1
2467,7.9,-5.1,-1.7
2468,5.2,-7.1,-0.6
2469,14.3,-1.7,0.1
2470,17.2,-2.0,0.0
2471,16.4,1.2,1.6
2472,6.4,-1.7,0.0
2473,10.3,-3.2,-0.5
2474,12.5,-5.2,-0.1
