,Player,Season,class,G,MP,PER,BPM,VORP
1467,Thabo Sefolosha,2018-19,1.0,50.0,12.2,12.1,1.5,0.5
1486,Omari Spellman,2018-19,1.0,46.0,17.5,12.4,-1.2,0.2
1498,Daniel Theis,2018-19,1.0,66.0,13.8,17.0,0.0,0.5
1512,Ekpe Udoh,2018-19,1.0,51.0,6.3,20.9,4.7,0.5
1526,Brad Wanamaker,2018-19,1.0,36.0,9.5,14.3,-0.7,0.1
1530,Thomas Welsh,2018-19,1.0,11.0,3.3,16.1,1.2,0.0
1538,Johnathan Williams,2018-19,1.0,24.0,15.5,15.1,-3.2,-0.1
1542,Robert Williams,2018-19,1.0,32.0,8.8,18.8,1.8,0.3
1546,Christian Wood,2018-19,1.0,21.0,12.0,21.9,0.4,0.1
1548,Guerschon Yabusele,2018-19,1.0,41.0,6.1,12.4,-2.7,0.0
1561,Grayson Allen,2019-20,1.0,38.0,18.9,12.0,-1.3,0.1
1563,Kadeem Allen,2019-20,1.0,10.0,11.7,14.0,-0.9,0.0
1578,Marvin Bagley III,2019-20,1.0,13.0,25.7,15.6,-3.5,-0.1
1580,Mo Bamba,2019-20,1.0,62.0,14.2,17.5,0.4,0.5
1581,J.J. Barea,2019-20,1.0,29.0,15.5,14.6,-1.4,0.1
1585,Keita Bates-Diop,2019-20,1.0,44.0,16.9,12.4,-1.4,0.1
1587,Aron Baynes,2019-20,1.0,42.0,22.2,15.2,-1.0,0.2
1593,Jordan Bell,2019-20,1.0,29.0,8.8,13.9,-2.5,0.0
1599,Goga Bitadze,2019-20,1.0,54.0,8.7,12.1,-2.3,0.0
1605,Bol Bol,2019-20,1.0,7.0,12.4,14.4,-3.0,0.0
1615,Tony Bradley,2019-20,1.0,58.0,11.4,21.7,1.3,0.6
1622,Ryan Broekhoff,2019-20,1.0,17.0,10.6,13.1,0.8,0.1
1634,Trey Burke,2019-20,1.0,33.0,15.8,15.6,-0.2,0.2
1638,Bruno Caboclo,2019-20,1.0,30.0,8.1,14.1,-2.1,0.0
1647,Michael Carter-Williams,2019-20,1.0,45.0,18.5,15.3,0.1,0.5
1650,Tyson Chandler,2019-20,1.0,26.0,8.4,10.8,-1.5,0.0
1654,Chris Chiozza,2019-20,1.0,28.0,14.3,12.0,-1.2,0.1
1656,Gary Clark,2019-20,1.0,42.0,13.5,10.7,-1.9,0.0
1659,Nic Claxton,2019-20,1.0,15.0,12.5,14.8,-0.7,0.1
1660,Chris Clemons,2019-20,1.0,33.0,8.8,13.1,-1.0,0.1
1668,Tyler Cook,2019-20,1.0,13.0,4.2,19.4,-0.2,0.0
1684,Cheick Diallo,2019-20,1.0,47.0,10.2,16.5,-1.3,0.1
1696,Jared Dudley,2019-20,1.0,45.0,8.1,7.8,-0.7,0.1
1703,Drew Eubanks,2019-20,1.0,22.0,12.4,17.3,-1.8,0.0
1706,Tacko Fall,2019-20,1.0,7.0,4.7,28.4,6.5,0.1
1708,Cristiano Felício,2019-20,1.0,22.0,17.5,12.8,-3.1,-0.1
1711,Yogi Ferrell,2019-20,1.0,50.0,10.6,12.2,-1.8,0.0
1722,Daniel Gafford,2019-20,1.0,43.0,14.2,16.2,-1.3,0.1
1730,Harry Giles,2019-20,1.0,46.0,14.5,16.4,-1.3,0.1
1733,Brandon Goodwin,2019-20,1.0,34.0,12.6,11.6,-2.9,-0.1
1744,Javonte Green,2019-20,1.0,48.0,9.8,13.1,-0.7,0.2
1745,Jeff Green,2019-20,1.0,48.0,20.0,13.7,-0.1,0.5
1761,Shaquille Harrison,2019-20,1.0,43.0,11.3,17.8,2.8,0.6
1763,Isaiah Hartenstein,2019-20,1.0,23.0,11.6,18.6,0.3,0.2
1767,John Henson,2019-20,1.0,40.0,15.0,17.0,0.9,0.4
1770,Willy Hernangómez,2019-20,1.0,31.0,12.1,19.2,0.1,0.2
1777,Jaylen Hoard,2019-20,1.0,13.0,7.9,14.9,-2.1,0.0
1783,Rodney Hood,2019-20,1.0,21.0,29.5,12.2,-0.9,0.2
1791,Chandler Hutchison,2019-20,1.0,28.0,18.8,12.4,-2.6,-0.1
1793,Andre Iguodala,2019-20,1.0,21.0,19.9,10.5,-0.5,0.2
1802,Josh Jackson,2019-20,1.0,22.0,17.3,14.1,0.1,0.2
1804,Reggie Jackson,2019-20,1.0,31.0,24.0,13.7,-0.3,0.3
1805,Justin James,2019-20,1.0,36.0,6.4,11.0,-1.4,0.0
