,Player,Season,class,G,MP,PER,BPM,VORP
1600,Bismack Biyombo,2019-20,0.0,53.0,19.4,16.1,-2.5,-0.1
1620,Miles Bridges,2019-20,0.0,65.0,30.7,12.1,-2.5,-0.3
1625,Bruce Brown,2019-20,0.0,58.0,28.2,11.9,-1.2,0.3
1630,Troy Brown Jr.,2019-20,0.0,69.0,25.8,13.7,-1.2,0.3
1631,Jalen Brunson,2019-20,0.0,57.0,17.9,14.9,-0.9,0.3
1640,Kentavious Caldwell-Pope,2019-20,0.0,69.0,25.5,11.0,-0.8,0.5
1644,Jevon Carter,2019-20,0.0,58.0,16.3,11.3,0.6,0.6
1646,Wendell Carter Jr.,2019-20,0.0,43.0,29.2,15.5,-2.4,-0.1
1648,Alex Caruso,2019-20,0.0,64.0,18.4,10.8,-0.2,0.5
1666,Pat Connaughton,2019-20,0.0,67.0,18.6,11.5,0.6,0.8
1691,Damyean Dotson,2019-20,0.0,48.0,17.4,10.9,-1.4,0.1
1697,Kris Dunn,2019-20,0.0,51.0,24.9,12.1,-0.6,0.4
1720,Markelle Fultz,2019-20,0.0,72.0,27.7,14.3,-1.8,0.1
1724,Langston Galloway,2019-20,0.0,66.0,25.8,12.3,-0.8,0.5
1727,Rudy Gay,2019-20,0.0,67.0,21.8,15.4,-0.8,0.4
1729,Taj Gibson,2019-20,0.0,62.0,16.5,16.1,-1.1,0.2
1743,JaMychal Green,2019-20,0.0,63.0,20.7,11.1,-0.5,0.5
1755,Maurice Harkless,2019-20,0.0,62.0,23.0,9.8,-0.7,0.5
1762,Josh Hart,2019-20,0.0,65.0,27.0,11.9,-0.7,0.6
1771,Tyler Herro,2019-20,0.0,55.0,27.4,12.5,-1.6,0.1
1776,Solomon Hill,2019-20,0.0,59.0,18.4,9.8,-1.7,0.1
1778,Aaron Holiday,2019-20,0.0,66.0,24.5,11.6,-1.6,0.2
1789,Kevin Huerter,2019-20,0.0,56.0,31.4,11.5,-1.6,0.2
1794,Ersan İlyasova,2019-20,0.0,63.0,15.7,14.9,0.4,0.6
1812,Cameron Johnson,2019-20,0.0,57.0,22.0,12.9,0.3,0.7
