,Player,Season,class,G,MP,PER,BPM,VORP
1799,Wes Iwundu,2019-20,1.0,52.0,18.3,10.3,-2.6,-0.2
1800,Frank Jackson,2019-20,1.0,59.0,13.5,9.1,-5.5,-0.7
1803,Justin Jackson,2019-20,1.0,65.0,16.1,9.5,-3.4,-0.4
1816,Tyler Johnson,2019-20,1.0,39.0,18.2,10.1,-2.9,-0.2
1831,Kevin Knox,2019-20,1.0,65.0,17.9,8.3,-4.2,-0.7
1836,Rodions Kurucs,2019-20,1.0,47.0,14.6,8.9,-2.8,-0.1
1856,Robin Lopez,2019-20,1.0,66.0,14.5,10.2,-2.6,-0.2
1859,Timothé Luwawu-Cabarrot,2019-20,1.0,47.0,18.1,11.0,-2.2,-0.1
1870,Cody Martin,2019-20,1.0,48.0,18.8,10.5,-2.1,0.0
1877,Patrick McCaw,2019-20,1.0,37.0,24.5,7.3,-1.8,0.0
1883,Rodney McGruder,2019-20,1.0,56.0,15.6,6.7,-3.0,-0.2
1903,E'Twaun Moore,2019-20,1.0,56.0,18.2,11.3,-2.7,-0.2
1927,Frank Ntilikina,2019-20,1.0,57.0,20.8,9.8,-3.2,-0.4
1933,Semi Ojeleye,2019-20,1.0,69.0,14.7,7.7,-1.7,0.1
1935,Elie Okobo,2019-20,1.0,55.0,13.1,10.6,-1.9,0.0
1941,Cedi Osman,2019-20,1.0,65.0,29.4,10.7,-2.6,-0.3
1961,Jordan Poole,2019-20,1.0,57.0,22.4,7.2,-6.6,-1.5
1962,Kevin Porter Jr.,2019-20,1.0,50.0,23.2,10.8,-3.8,-0.5
1969,Taurean Prince,2019-20,1.0,64.0,29.0,9.1,-2.9,-0.4
1973,Cam Reddish,2019-20,1.0,58.0,26.7,9.0,-4.2,-0.9
1977,Austin Rivers,2019-20,1.0,68.0,23.4,10.4,-2.5,-0.2
1981,Jerome Robinson,2019-20,1.0,63.0,15.5,7.4,-3.9,-0.5
2001,Landry Shamet,2019-20,1.0,53.0,27.4,8.5,-2.1,0.0
2007,Anfernee Simons,2019-20,1.0,70.0,20.7,9.0,-4.5,-0.9
2023,Isaiah Thomas,2019-20,1.0,40.0,23.1,11.6,-4.4,-0.5
2030,Anthony Tolliver,2019-20,1.0,55.0,15.9,7.0,-3.2,-0.3
2051,Lonnie Walker IV,2019-20,1.0,61.0,16.2,10.5,-3.5,-0.4
2062,Coby White,2019-20,1.0,65.0,25.8,11.9,-2.9,-0.4
2066,Grant Williams,2019-20,1.0,69.0,15.1,7.9,-2.7,-0.2
2068,Kenrich Williams,2019-20,1.0,39.0,21.3,7.5,-2.4,-0.1
2085,Precious Achiuwa,2020-21,1.0,61.0,12.1,14.2,-4.1,-0.4
2098,Thanasis Antetokounmpo,2020-21,1.0,57.0,9.7,10.3,-3.5,-0.2
2100,Cole Anthony,2020-21,1.0,47.0,27.1,12.1,-3.3,-0.4
2105,Deni Avdija,2020-21,1.0,54.0,23.3,7.6,-3.1,-0.4
2108,Dwayne Bacon,2020-21,1.0,72.0,25.7,9.9,-5.1,-1.5
