,Player,Season,class,G,MP,PER,BPM,VORP
963,Isaiah Thomas,2017-18,0.0,32.0,26.9,12.6,-4.9,-0.6
964,Lance Thomas,2017-18,0.0,73.0,18.5,6.3,-3.7,-0.6
966,Tristan Thompson,2017-18,0.0,53.0,20.2,13.6,-2.9,-0.2
967,Sindarius Thornwell,2017-18,0.0,73.0,15.8,8.2,-2.4,-0.1
970,P.J. Tucker,2017-18,0.0,82.0,27.8,8.3,-1.1,0.5
971,Evan Turner,2017-18,0.0,79.0,25.7,9.9,-2.5,-0.3
974,Tyler Ulis,2017-18,0.0,71.0,23.4,10.1,-4.4,-1.0
976,Denzel Valentine,2017-18,0.0,77.0,27.2,12.1,-1.0,0.5
979,Noah Vonleh,2017-18,0.0,54.0,16.2,12.8,-1.3,0.2
981,Dwyane Wade,2017-18,0.0,67.0,22.9,15.0,-1.0,0.4
982,Dion Waiters,2017-18,0.0,30.0,30.6,10.5,-3.5,-0.4
985,Tyrone Wallace,2017-18,0.0,30.0,28.4,10.1,-3.5,-0.3
999,Andrew Wiggins,2017-18,0.0,82.0,36.3,13.0,-2.4,-0.3
1003,C.J. Williams,2017-18,0.0,38.0,18.6,9.5,-2.1,0.0
1011,Justise Winslow,2017-18,0.0,68.0,24.7,11.5,-1.1,0.4
1018,Joe Young,2017-18,0.0,53.0,10.5,10.1,-3.5,-0.2
1019,Nick Young,2017-18,0.0,80.0,17.4,10.0,-3.5,-0.5
1022,Tyler Zeller,2017-18,0.0,66.0,16.8,16.0,-1.4,0.2
1046,OG Anunoby,2018-19,0.0,67.0,20.2,9.8,-2.4,-0.1
1047,Ryan Arcidiacono,2018-19,0.0,81.0,24.2,11.6,-1.9,0.1
1051,Dwayne Bacon,2018-19,0.0,43.0,17.7,11.7,-3.7,-0.3
1059,Will Barton,2018-19,0.0,43.0,27.7,11.0,-1.8,0.0
1064,Kent Bazemore,2018-19,0.0,67.0,24.5,11.9,-2.3,-0.1
1068,Marco Belinelli,2018-19,0.0,79.0,23.0,11.9,-1.7,0.1
1069,Jordan Bell,2018-19,0.0,68.0,11.6,12.9,-0.9,0.2
1070,DeAndre' Bembry,2018-19,0.0,82.0,23.5,10.8,-2.4,-0.2
1071,Dragan Bender,2018-19,0.0,46.0,18.0,9.5,-4.1,-0.5
1076,Bismack Biyombo,2018-19,0.0,54.0,14.5,14.4,-2.5,-0.1
1078,Antonio Blakeney,2018-19,0.0,57.0,14.5,10.6,-5.2,-0.7
1088,Avery Bradley,2018-19,0.0,63.0,30.2,7.6,-3.7,-0.8
1091,Mikal Bridges,2018-19,0.0,82.0,29.5,10.8,-1.6,0.3
1092,Miles Bridges,2018-19,0.0,80.0,21.2,13.1,-0.8,0.5
1098,Bruce Brown,2018-19,0.0,74.0,19.6,6.9,-3.3,-0.5
1099,Jaylen Brown,2018-19,0.0,74.0,25.9,13.5,-2.1,0.0
1101,Sterling Brown,2018-19,0.0,58.0,17.8,10.9,-1.5,0.1
1102,Troy Brown Jr.,2018-19,0.0,52.0,14.0,11.1,-2.7,-0.1
1103,Jalen Brunson,2018-19,0.0,73.0,21.8,12.8,-1.7,0.1
1105,Reggie Bullock,2018-19,0.0,63.0,29.8,10.5,-1.1,0.4
1107,Alec Burks,2018-19,0.0,64.0,21.5,12.7,-1.2,0.3
1115,DeMarre Carroll,2018-19,0.0,67.0,25.4,12.1,-1.5,0.2
1117,Vince Carter,2018-19,0.0,76.0,17.5,11.8,-0.7,0.5
1118,Wendell Carter Jr.,2018-19,0.0,44.0,25.2,15.2,-1.6,0.1
1125,Tyson Chandler,2018-19,0.0,55.0,15.9,11.2,-2.1,0.0
1126,Wilson Chandler,2018-19,0.0,51.0,23.1,8.5,-2.8,-0.2
1130,Gary Clark,2018-19,0.0,51.0,12.6,9.2,-0.7,0.2
1131,Ian Clark,2018-19,0.0,60.0,16.2,8.3,-5.1,-0.8
1134,Zach Collins,2018-19,0.0,77.0,17.6,13.5,-1.2,0.3
1139,Quinn Cook,2018-19,0.0,74.0,14.3,13.1,-2.1,0.0
1142,Allen Crabbe,2018-19,0.0,43.0,26.3,7.7,-2.8,-0.2
1143,Torrey Craig,2018-19,0.0,75.0,20.0,10.4,-1.9,0.0
1144,Jamal Crawford,2018-19,0.0,64.0,18.9,11.7,-3.9,-0.6
1147,Dante Cunningham,2018-19,0.0,64.0,14.5,10.2,-0.6,0.3
1148,Seth Curry,2018-19,0.0,74.0,18.9,11.4,-1.0,0.3
1150,Troy Daniels,2018-19,0.0,51.0,14.9,9.8,-3.7,-0.3
1158,Matthew Dellavedova,2018-19,0.0,48.0,16.9,11.1,-4.4,-0.5
1162,Cheick Diallo,2018-19,0.0,64.0,14.0,17.5,-0.9,0.2
1168,Tyler Dorsey,2018-19,0.0,48.0,14.5,11.2,-3.5,-0.3
1169,Damyean Dotson,2018-19,0.0,73.0,27.5,10.8,-2.6,-0.3
1171,Goran Dragić,2018-19,0.0,36.0,27.5,13.9,-1.1,0.2
1173,Jared Dudley,2018-19,0.0,59.0,20.7,7.8,-1.8,0.1
1174,Kris Dunn,2018-19,0.0,46.0,30.2,12.4,-2.7,-0.2
