,player,year,g,mp,per,bpm,vorp,class
1704,Dante Exum,2018-19,42.0,15.8,11.2,-2.1,0.0,below average
1705,Kenneth Faried,2018-19,37.0,19.7,21.6,-0.2,0.3,below average
1706,Raymond Felton,2018-19,33.0,11.5,11.2,-1.3,0.1,below average
1707,Pau Gasol,2018-19,30.0,12.0,16.7,3.1,0.5,below average
1708,Marcin Gortat,2018-19,47.0,16.0,12.8,-1.3,0.1,below average
1709,John Henson,2018-19,14.0,13.4,17.1,2.5,0.2,below average
1710,Willy Hernangómez,2018-19,58.0,14.0,20.4,-0.1,0.4,below average
1711,Nenê,2018-19,42.0,13.0,11.9,-2.2,0.0,below average
1712,Aaron Holiday,2018-19,50.0,12.9,11.9,-1.6,0.1,below average
1713,Dwight Howard,2018-19,9.0,25.6,17.4,-3.0,-0.1,below average
1714,Amile Jefferson,2018-19,12.0,5.7,21.1,2.5,0.1,below average
1715,Amir Johnson,2018-19,51.0,10.4,13.1,-2.3,0.0,below average
1716,Damian Jones,2018-19,24.0,17.1,15.3,1.1,0.3,below average
1717,Frank Kaminsky,2018-19,47.0,16.1,16.8,0.3,0.4,below average
1718,Furkan Korkmaz,2018-19,48.0,14.1,11.5,-1.8,0.0,below average
1719,Luke Kornet,2018-19,46.0,17.0,14.8,2.1,0.8,below average
1720,Kosta Koufos,2018-19,42.0,12.0,12.3,-3.4,-0.2,below average
1721,Skal Labissière,2018-19,22.0,8.0,12.6,-3.0,0.0,below average
1722,T.J. Leaf,2018-19,58.0,9.0,16.9,-0.3,0.2,below average
1723,Courtney Lee,2018-19,34.0,12.6,10.3,-2.5,-0.1,below average
1724,Damion Lee,2018-19,32.0,11.7,11.9,-2.2,0.0,below average
1725,Jon Leuer,2018-19,41.0,9.8,13.2,-2.5,0.0,below average
1726,Kevin Love,2018-19,22.0,27.2,19.5,1.6,0.6,below average
1727,Jordan Loyd,2018-19,12.0,4.6,16.3,-1.0,0.0,below average
1728,Ian Mahinmi,2018-19,34.0,14.6,12.0,-3.0,-0.1,below average
1729,Frank Mason III,2018-19,38.0,11.4,12.4,-3.1,-0.1,below average
